interaction_id,recipe_id,user_id,type,value,timestamp
int-0047,pav-bhaji-001,user_li,view,,2025-11-13T08:03:50.457311+00:00
int-0044,paneer-tikka-006,user_maya,view,,2025-11-14T21:13:50.318471+00:00
int-0025,chana-masala-005,user_li,view,,2025-11-08T19:32:42.173934+00:00
int-0050,masala-dosa-002,user_chen,attempt,,2025-11-10T10:13:50.627050+00:00
int-0038,puran-poli-019,user_chen,attempt,,2025-11-07T19:12:43.289574+00:00
int-0006,grilled-cheese-004,user_rita,view,,2025-11-18T17:58:48.340361+00:00
int-0040,paneer-tikka-006,user_sara,view,,2025-11-17T02:10:50.053413+00:00
int-0039,paneer-tikka-006,user_sara,view,,2025-11-13T21:43:50.009844+00:00
int-0043,chana-masala-005,user_kunal,view,,2025-11-10T07:04:43.717888+00:00
int-0023,veg-biryani-001,user_rita,view,,2025-11-11T22:36:49.296743+00:00
int-0009,chana-masala-005,user_rita,view,,2025-11-16T08:24:40.797637+00:00
int-0003,dal-tadka-008,user_kunal,view,,2025-11-07T09:13:40.212381+00:00
int-0031,edli-018,,view,,2025-11-20T21:02:49.659435+00:00
int-0032,pulav-016,user_chen,view,,2025-11-17T12:37:42.793388+00:00
int-0028,paneer-tikka-006,user_mike,attempt,,2025-11-08T21:02:49.512032+00:00
int-0013,paneer-tikka-006,user_anna,attempt,,2025-11-13T07:02:48.782815+00:00
int-0046,grilled-cheese-004,user_maya,attempt,,2025-11-14T19:55:44.059029+00:00
int-0034,quinoa-salad-013,user_rohit,view,,2025-11-10T09:53:49.793753+00:00
int-0045,ramen-bowl-014,user_john,view,,2025-11-08T10:01:43.910961+00:00
int-0020,veg-biryani-001,user_rita,like,,2025-11-17T09:40:41.773353+00:00
int-0005,falafel-wrap-015,user_anna,view,,2025-11-14T19:27:40.350947+00:00
int-0035,falafel-wrap-015,user_sara,view,,2025-11-10T05:43:43.031521+00:00
int-0028,puran-poli-019,user_john,like,,2025-11-09T02:37:42.404961+00:00
int-0012,masala-dosa-002,user_rita,view,,2025-11-14T18:14:41.101889+00:00
int-0041,tacos-012,user_mike,view,,2025-11-19T21:13:43.549993+00:00
int-0021,spaghetti-aglio-009,,attempt,,2025-11-09T18:16:41.859968+00:00
int-0035,pulav-016,user_kunal,view,,2025-11-12T18:09:49.826556+00:00
int-0038,puran-poli-019,user_kunal,view,,2025-11-16T03:15:49.977408+00:00
int-0016,spaghetti-aglio-009,user_chen,view,,2025-11-07T00:36:41.456096+00:00
int-0042,masala-dosa-002,,view,,2025-11-16T05:27:50.183934+00:00
int-0009,dal-tadka-008,,view,,2025-11-12T06:39:48.545766+00:00
int-0002,spaghetti-aglio-009,user_john,view,,2025-11-20T02:17:48.053773+00:00
int-0021,vada-pav-017,user_rita,view,,2025-11-08T04:28:49.192295+00:00
int-0022,spaghetti-aglio-009,user_kunal,view,,2025-11-20T06:21:49.253106+00:00
int-0007,paneer-tikka-006,user_maya,attempt,,2025-11-15T12:37:40.517847+00:00
int-0023,vada-pav-017,,view,,2025-11-09T03:34:42.017081+00:00
int-0049,miso-soup-011,user_sara,attempt,,2025-11-08T01:42:44.359422+00:00
int-0030,pancakes-010,user_maya,view,,2025-11-19T11:34:42.583282+00:00
int-0020,ramen-bowl-014,user_sara,attempt,,2025-11-14T21:18:49.126069+00:00
int-0039,pulav-016,user_mike,view,,2025-11-07T13:20:43.364742+00:00
int-0017,vada-pav-017,user_kunal,view,,2025-11-19T02:18:41.526278+00:00
int-0043,pancakes-010,user_kunal,view,,2025-11-15T10:31:50.265561+00:00
int-0007,pancakes-010,user_maya,view,,2025-11-16T14:39:48.419929+00:00
int-0024,veg-biryani-001,user_sara,view,,2025-11-08T05:05:42.100746+00:00
int-0015,pav-bhaji-001,user_mike,view,,2025-11-14T14:47:48.893568+00:00
int-0001,chana-masala-005,user_john,rating,4.0,2025-11-16T02:49:47.970120+00:00
int-0033,vada-pav-017,user_john,view,,2025-11-17T06:39:42.883862+00:00
int-0011,quinoa-salad-013,,like,,2025-11-08T03:58:40.983662+00:00
int-0036,falafel-wrap-015,user_kunal,view,,2025-11-14T02:07:49.873482+00:00
int-0019,veg-biryani-001,user_rita,attempt,,2025-11-16T08:35:49.094821+00:00
int-0026,grilled-cheese-004,user_kunal,rating,3.0,2025-11-09T12:52:42.247988+00:00
int-0016,pancakes-010,user_chen,view,,2025-11-15T16:03:48.940875+00:00
int-0008,tacos-012,,view,,2025-11-15T17:16:40.599975+00:00
int-0014,masala-dosa-002,user_maya,like,,2025-11-08T22:32:48.838103+00:00
int-0019,chana-masala-005,user_rita,view,,2025-11-14T15:28:41.673187+00:00
int-0017,puran-poli-019,user_chen,rating,5.0,2025-11-15T07:26:48.981836+00:00
int-0030,dal-tadka-008,user_rohit,view,,2025-11-19T01:39:49.628129+00:00
int-0029,masala-dosa-002,user_sara,attempt,,2025-11-13T03:51:49.558882+00:00
int-0008,chocolate-cake-003,user_mike,rating,5.0,2025-11-19T10:12:48.478330+00:00
int-0004,quinoa-salad-013,user_sara,rating,4.0,2025-11-10T02:31:40.273833+00:00
int-0004,grilled-cheese-004,user_rohit,view,,2025-11-14T05:26:48.222405+00:00
int-0032,butter-chicken-007,user_anna,attempt,,2025-11-15T07:14:49.707590+00:00
int-0013,vada-pav-017,,view,,2025-11-17T08:59:41.206740+00:00
int-0011,pancakes-010,user_rohit,view,,2025-11-08T13:00:48.687651+00:00
int-0037,puran-poli-019,user_sara,view,,2025-11-18T10:24:49.929040+00:00
int-0006,butter-chicken-007,,rating,5.0,2025-11-16T08:14:40.431421+00:00
int-0033,falafel-wrap-015,user_john,view,,2025-11-12T23:01:49.746938+00:00
int-0024,pancakes-010,user_rita,view,,2025-11-19T13:04:49.343679+00:00
int-0027,pulav-016,user_mike,view,,2025-11-15T18:31:42.335131+00:00
int-0040,ramen-bowl-014,user_mike,view,,2025-11-08T11:09:43.460552+00:00
int-0025,pulav-016,user_john,view,,2025-11-11T20:14:49.376852+00:00
int-0010,edli-018,user_john,view,,2025-11-05T19:27:40.898014+00:00
int-0041,tacos-012,user_sara,view,,2025-11-09T16:23:50.105545+00:00
int-0034,miso-soup-011,,view,,2025-11-06T04:01:42.962582+00:00
int-0031,grilled-cheese-004,user_li,view,,2025-11-07T17:27:42.689818+00:00
int-0048,veg-biryani-001,user_john,view,,2025-11-07T02:50:50.520231+00:00
int-0047,ramen-bowl-014,user_sara,view,,2025-11-07T11:37:44.151313+00:00
int-0018,quinoa-salad-013,,view,,2025-11-09T03:22:49.039356+00:00
int-0044,chocolate-cake-003,user_li,view,,2025-11-10T15:29:43.818159+00:00
int-0018,chana-masala-005,user_rita,view,,2025-11-20T02:04:41.601239+00:00
int-0001,dal-tadka-008,,view,,2025-11-16T00:03:40.013696+00:00
int-0015,falafel-wrap-015,user_chen,view,,2025-11-06T22:48:41.393311+00:00
int-0042,falafel-wrap-015,user_rita,view,,2025-11-16T12:00:43.632244+00:00
int-0005,ramen-bowl-014,user_kunal,like,,2025-11-18T21:10:48.269276+00:00
int-0029,pulav-016,user_anna,view,,2025-11-08T06:44:42.474074+00:00
int-0045,tacos-012,user_rohit,view,,2025-11-07T14:52:50.362747+00:00
int-0046,miso-soup-011,user_sara,view,,2025-11-20T10:44:50.412552+00:00
int-0049,misal-pav-020,,rating,5.0,2025-11-15T16:42:50.587286+00:00
int-0026,dal-tadka-008,user_john,view,,2025-11-10T11:04:49.424310+00:00
int-0036,quinoa-salad-013,user_john,view,,2025-11-18T15:28:43.134628+00:00
int-0022,pancakes-010,user_john,view,,2025-11-07T06:40:41.944713+00:00
int-0048,ramen-bowl-014,user_rita,view,,2025-11-12T22:29:44.264583+00:00
int-0014,vada-pav-017,user_kunal,view,,2025-11-05T17:09:41.325908+00:00
int-0002,chocolate-cake-003,user_rita,view,,2025-11-06T12:38:40.107599+00:00
int-0050,spaghetti-aglio-009,user_rita,like,,2025-11-15T05:11:44.439387+00:00
int-0037,miso-soup-011,user_rohit,view,,2025-11-11T22:30:43.211997+00:00
int-0010,pulav-016,user_john,view,,2025-11-11T06:08:48.640759+00:00
int-0012,quinoa-salad-013,,view,,2025-11-20T14:52:48.735888+00:00
int-0003,chocolate-cake-003,user_chen,view,,2025-11-17T01:42:48.174522+00:00
int-0027,misal-pav-020,user_rita,view,,2025-11-10T20:55:49.479841+00:00
